epoch,loss,dev_auc,dev_acc,dev_f1,loss_clean,loss_adv,loss_spec
1,0.1345,0.9727,0.8991,0.9241,0.0473,0.5787,0.0035
2,0.1228,0.9702,0.8896,0.9166,0.0492,0.4889,0.0035
3,0.1138,0.9687,0.8812,0.9095,0.0504,0.4206,0.0035
4,0.1084,0.9680,0.8564,0.8873,0.0497,0.3890,0.0035
5,0.1049,0.9678,0.8172,0.8498,0.0498,0.3651,0.0035
