nohup: ignoring input
Disabling PyTorch because PyTorch >= 2.4 is required but found 2.2.2
PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Loaded Phase 2 checkpoint — Dev AUC 0.9912  Dev Acc 0.9530
All 59 param groups unfrozen for Phase 3

=================================================================
  AudioGuard RawNet3-FSAT — Phase 3 Adversarial Training
=================================================================
Device  : cuda  |  AMP: True
FGSM ε=0.005  PGD ε=0.005/3-step  F-SAT ε=0.01  adv_ratio=0.4

Scanning data (cap 80k orig, all hard)...
  for_dataset                                   real= 84,756  fake= 84,980
  realvsfake_voice                              real=     20  fake=     60
  wavefake                                      real= 13,100  fake=134,266
Mixed   : 80,000 total samples (for_dataset + realvsfake_voice + wavefake)
Split   : Train 64,002 | Dev 7,999 | Eval 7,999

=================================================================
  Training
=================================================================
  Ep2 step 750/2667 | loss 0.0479 (clean 0.0279 adv 0.1999)
  Ep2 step 800/2667 | loss 0.0889 (clean 0.0487 adv 0.4022)
  Ep2 step 850/2667 | loss 0.0701 (clean 0.0403 adv 0.2985)
  Ep2 step 900/2667 | loss 0.0705 (clean 0.0461 adv 0.2435)
  Ep2 step 950/2667 | loss 0.1492 (clean 0.1196 adv 0.2966)
  Ep2 step 1000/2667 | loss 0.0489 (clean 0.0231 adv 0.2578)
  Ep2 step 1050/2667 | loss 0.0341 (clean 0.0111 adv 0.2304)
  Ep2 step 1100/2667 | loss 0.0309 (clean 0.0196 adv 0.1135)
  Ep2 step 1150/2667 | loss 0.0799 (clean 0.0410 adv 0.3884)
  Ep2 step 1200/2667 | loss 0.0922 (clean 0.0335 adv 0.5870)
  Ep2 step 1250/2667 | loss 0.0710 (clean 0.0424 adv 0.2854)
  Ep2 step 1300/2667 | loss 0.0184 (clean 0.0098 adv 0.0854)
  Ep2 step 1350/2667 | loss 0.0319 (clean 0.0169 adv 0.1497)
  Ep2 step 1400/2667 | loss 0.0360 (clean 0.0280 adv 0.0804)
  Ep2 step 1450/2667 | loss 0.0884 (clean 0.0555 adv 0.3285)
  Ep2 step 1500/2667 | loss 0.0722 (clean 0.0401 adv 0.3211)
  Ep2 step 1550/2667 | loss 0.0346 (clean 0.0206 adv 0.1399)
  Ep2 step 1600/2667 | loss 0.0525 (clean 0.0271 adv 0.2542)
  Ep2 step 1650/2667 | loss 0.0353 (clean 0.0162 adv 0.1911)
  Ep2 step 1700/2667 | loss 0.0559 (clean 0.0309 adv 0.2508)
  Ep2 step 1750/2667 | loss 0.0464 (clean 0.0156 adv 0.3081)
  Ep2 step 1800/2667 | loss 0.0401 (clean 0.0185 adv 0.2160)
  Ep2 step 1850/2667 | loss 0.0495 (clean 0.0387 adv 0.1088)
  Ep2 step 1900/2667 | loss 0.0812 (clean 0.0512 adv 0.2998)
  Ep2 step 1950/2667 | loss 0.0466 (clean 0.0253 adv 0.2127)
  Ep2 step 2000/2667 | loss 0.0292 (clean 0.0148 adv 0.1439)
  Ep2 step 2050/2667 | loss 0.0866 (clean 0.0724 adv 0.1421)
  Ep2 step 2100/2667 | loss 0.0493 (clean 0.0188 adv 0.3055)
  Ep2 step 2150/2667 | loss 0.0567 (clean 0.0301 adv 0.2660)
  Ep2 step 2200/2667 | loss 0.0257 (clean 0.0202 adv 0.0543)
  Ep2 step 2250/2667 | loss 0.0622 (clean 0.0375 adv 0.2472)
  Ep2 step 2300/2667 | loss 0.0597 (clean 0.0317 adv 0.2798)
  Ep2 step 2350/2667 | loss 0.0768 (clean 0.0353 adv 0.4150)
  Ep2 step 2400/2667 | loss 0.0701 (clean 0.0506 adv 0.1947)
  Ep2 step 2450/2667 | loss 0.0604 (clean 0.0418 adv 0.1861)
  Ep2 step 2500/2667 | loss 0.0398 (clean 0.0282 adv 0.1157)
  Ep2 step 2550/2667 | loss 0.0606 (clean 0.0334 adv 0.2719)
  Ep2 step 2600/2667 | loss 0.0249 (clean 0.0133 adv 0.1161)
  Ep2 step 2650/2667 | loss 0.0560 (clean 0.0241 adv 0.3188)
Ep 02/6 | Loss 0.0683 | AUC 0.9826 | Acc 0.9245 | F1 0.9437
  Ep3 step 50/2667 | loss 0.0892 (clean 0.0602 adv 0.2898)
